date,value,time
2021-12-21,220.0,13
2021-12-21,421.0,13
2021-12-21,119.0,13
2021-12-21,690.0,14
2021-12-21,201.0,14
2021-12-21,129.0,14
2021-12-21,170.0,14
2021-12-21,55.0,14
2021-12-21,71.0,15
2021-12-21,608.0,15
2021-12-21,179.0,15
2021-12-21,626.0,16
2021-12-21,8.0,16
2021-12-21,1.0,16
2021-12-21,28.0,16
2021-12-21,32.0,17
2021-12-21,16.0,17
2021-12-21,33.0,19
2021-12-21,81.0,19
2021-12-21,21.0,19
2021-12-21,16.0,20
2021-12-21,319.0,20
2021-12-21,9.0,21
2021-12-21,19.0,22
2021-12-21,320.0,22
2021-12-21,11.0,22
2021-12-21,41.0,23
2021-12-21,8.0,23
2021-12-21,20.0,23
2021-12-22,3.0,0
2021-12-22,22.0,10
2021-12-22,117.0,10
2021-12-22,12.0,11
2021-12-22,8.0,11
2021-12-22,81.0,12
2021-12-22,35.0,12
2021-12-22,69.0,13
2021-12-22,59.0,13
2021-12-22,83.0,14
2021-12-22,77.0,14
2021-12-22,620.0,14
2021-12-22,306.0,15
2021-12-22,164.0,15
2021-12-22,116.0,15
2021-12-22,65.0,15
2021-12-22,350.0,16
2021-12-22,352.0,16
2021-12-22,145.0,16
2021-12-22,155.0,16
2021-12-22,372.0,17
2021-12-22,323.0,17
2021-12-22,413.0,17
2021-12-22,48.0,17
2021-12-22,712.0,18
2021-12-22,40.0,18
2021-12-22,12.0,18
2021-12-22,237.0,19
2021-12-22,57.0,19
2021-12-22,13.0,20
2021-12-22,30.0,20
2021-12-22,2.0,20
2021-12-22,9.0,21
2021-12-22,52.0,22
2021-12-22,137.0,22
2021-12-22,14.0,22
2021-12-22,55.0,23
2021-12-22,128.0,23
2021-12-22,82.0,23
2021-12-22,214.0,23
2021-12-23,72.0,0
2021-12-23,202.0,0
2021-12-23,53.0,0
2021-12-23,74.0,1
2021-12-23,18.0,1
2021-12-23,57.0,10
2021-12-23,59.0,10
